nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
2 Koszty ogólnego zarządu,Koszty ogólnego zarzadu,administrative_expenses,,,
E Koszty ogólnego zarządu,Koszty ogólnego zarządu,administrative_expenses,,,
"II,Koszty ogólnego zarządu",Koszty ogólnego zarzadu,administrative_expenses,,,
Koszty ogólne i administracyjne,Koszty ogólnego zarzadu,administrative_expenses,,,
"Koszty ogólnego zarządu, w tym:",Koszty ogólnego zarzadu,administrative_expenses,,,
Koszty ogólonego zarządu,Koszty ogólnego zarzadu,administrative_expenses,,,
- amortyzacja,Amortyzacja,amortization,nazwa generyczna - moze pasowac do wielu pozycji,,
3 Amortyzacja,Amortyzacja,amortization,nazwa generyczna - moze pasowac do wielu pozycji,,
"A,II,1 +Amortyzacja",Amortyzacja,amortization,,,
Amortyzacja 2),Amortyzacja,amortization,nazwa generyczna - moze pasowac do wielu pozycji,,
Amortyzacja i odpisy aktualizujące rzeczowe aktywa trwałe,Amortyzacja,amortization,,,
Amortyzacja i odpisy z tytułu utraty wartości,Amortyzacja,amortization,,,
"Amortyzacja i utrata wartości środków trwałych, wartości niematerialnych i aktywów z tytułu prawa do użytkowania",Amortyzacja,amortization,,,
Amortyzacja rzeczowych aktywów trwałych i wartości niematerialnych,Amortyzacja,amortization,,,
Amortyzacja środków trwałych i wartości niematerialnych,Amortyzacja,amortization,,,
Amortyzację,Amortyzacja,amortization,nazwa generyczna - moze pasowac do wielu pozycji,,
B I Amortyzacja,Amortyzacja,amortization,,,
"B,I +Amortyzacja",Amortyzacja,amortization,,,
Aktywa przeznaczone do sprzedaży,Aktywa trwałe przeznaczone do sprzedaży,assets_for_sale,,,
(Strata) przed opodatkowaniem,Zysk przed opodatkowaniem,before_tax_profit,nazwa mowi o STRACIE - sprawdz znak,,
(Strata)/Zysk brutto,Zysk przed opodatkowaniem,before_tax_profit,nazwa mowi o STRACIE - sprawdz znak,,
A+B+C+D Zysk (strata) brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
A+B+C+D+E Zysk (strata) brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
E Wynik przed opodatkowaniem,Zysk przed opodatkowaniem,before_tax_profit,,,
F Zysk (strata) przed opodatkowaniem,Zysk przed opodatkowaniem,before_tax_profit,,,
"I ,Zysk/(Strata) brutto (I +/- J)",Zysk przed opodatkowaniem,before_tax_profit,,,
I Zysk (strata) brutto (F + G - H),Zysk przed opodatkowaniem,before_tax_profit,,,
I Zysk (strata) brutto (F+G-H),Zysk przed opodatkowaniem,before_tax_profit,,,
I Zysk (strata) brutto (F+G–H),Zysk przed opodatkowaniem,before_tax_profit,,,
I Zysk / strata brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
I Zysk/Strata brutto (F+G-H),Zysk przed opodatkowaniem,before_tax_profit,,,
"I,Zysk (strata) brutto (F+G–H)",Zysk przed opodatkowaniem,before_tax_profit,,,
III Zysk (strata) brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
